,name,price,first_name,above_100
0,William Dixon,109.0372796,Dixon,True
1,Kristen Horn,262.5246522,Horn,True
2,Kimberly Chang,187.0072583,Chang,True
3,Mary Ball,283.1746476,Ball,True
4,Benjamin Craig,143.8715817,Craig,True
5,Cathy Werner,61.50899135,Werner,False
6,Brandon Bell,48.6373091,Bell,False
7,Paul Farley,12.38946479,Farley,False
8,Sarah Mcdaniel,151.5954472,Mcdaniel,True
9,Caroline Anderson,75.62152103,Anderson,False
10,Carl Jones,147.0294047,Jones,True
11,Scott Lee,244.1856527,Lee,True
12,Kaylee Coleman,17.86427032,Coleman,False
13,Charles Parker,215.537283,Parker,True
14,Susan Hess,38.35997063,Hess,False
15,Kiara Collier,204.1825486,Collier,True
16,Mr. Scott Martinez,165.8514289,Scott,True
17,Christopher Ortega,30.30144506,Ortega,False
18,Michael Russell,243.1724911,Russell,True
19,Dwayne Johnson,287.4932856,Johnson,True
20,Patty Smith,180.2344257,Smith,True
21,Deanna Sherman,99.79911842,Sherman,False
22,Douglas Francis,161.7688908,Francis,True
23,Vicki Diaz,18.64987672,Diaz,False
24,Robin Phillips,244.9119836,Phillips,True
25,Travis Rice,141.4988254,Rice,True
26,Ashley Rocha,50.00303731,Rocha,False
27,Sarah Jacobson,80.48182457,Jacobson,False
28,Kayla Shannon,98.91531394,Shannon,False
29,Sean Wang DDS,220.6282177,Wang,True
30,Richard Estrada,49.16869151,Estrada,False
31,Joseph Torres,150.1237842,Torres,True
32,Kim Jones,18.8434377,Jones,False
33,Melissa Tanner,269.1840299,Tanner,True
34,Jackson Cline,64.31251721,Cline,False
35,Sonya Foster,296.2155012,Foster,True
36,Allen Williams,15.3908317,Williams,False
37,Mr. Thomas Rivera,95.22843716,Thomas,False
38,Jamie Silva,296.8244075,Silva,True
39,Kathleen Moore,92.50052419,Moore,False
40,Evelyn Pineda,169.2289293,Pineda,True
41,Kyle Peters,106.7990952,Peters,True
42,Anthony Cruz,49.10199817,Cruz,False
43,Eric Flores,122.9556986,Flores,True
44,Anna Richardson,254.4952606,Richardson,True
45,Gary Harper,47.59652592,Harper,False
46,Linda Johnson,115.3627815,Johnson,True
47,Melissa Smith,87.97994846,Smith,False
48,Kristen Floyd,135.0230413,Floyd,True
49,William Diaz,192.1491355,Diaz,True
50,Benjamin Smith,134.9052939,Smith,True
51,David Glenn,216.2910463,Glenn,True
52,Dawn Jones,271.6144999,Jones,True
53,Joel Smith,14.4949198,Smith,False
54,Mr. Larry Grimes MD,268.6758682,Larry,True
55,Joseph Arnold,121.7750468,Arnold,True
56,Kyle Long,241.6216391,Long,True
57,Brittany Day,261.5460574,Day,True
58,Bobby Ward,63.5130358,Ward,False
59,Thomas Lee,254.0755771,Lee,True
60,Jennifer Hansen,101.4887352,Hansen,True
61,Lisa Murray,176.0919174,Murray,True
62,Meghan Wade,273.2303409,Wade,True
63,Tammie Brooks,84.88856949,Brooks,False
64,Maria Bell,264.0746652,Bell,True
65,Allison Livingston,130.3484426,Livingston,True
66,Chris Hays,17.34276379,Hays,False
67,Courtney Mitchell,78.93257699,Mitchell,False
68,Shawn White,188.0219256,White,True
69,Taylor Gomez,225.0198237,Gomez,True
70,Jeremy Rodriguez,200.7248208,Rodriguez,True
71,April Garcia,66.24555967,Garcia,False
72,Zachary Watts,15.49738786,Watts,False
73,Sarah Montoya,206.8212547,Montoya,True
74,Jennifer Barker,89.18615989,Barker,False
75,Sharon Garza,72.35772704,Garza,False
76,Tiffany Stevens,196.379322,Stevens,True
77,Ruben Armstrong,93.69836738,Armstrong,False
78,Dr. Jeffrey Spencer,271.162282,Jeffrey,True
79,Nicole Ramsey,247.8596071,Ramsey,True
80,Anne Roy,277.9324821,Roy,True
81,Lori Sanchez,285.6616405,Sanchez,True
82,Allison Chavez,126.850211,Chavez,True
83,Marcus Adams,36.47040894,Adams,False
84,Mary Smith,16.315071969999998,Smith,False
85,Joseph Reed,178.4576742,Reed,True
86,Jason Armstrong,26.04525746,Armstrong,False
87,Jeff Armstrong,88.47561284,Armstrong,False
88,Sean Shields,247.8395255,Shields,True
89,Jessica Allison,104.742308,Allison,True
90,Christian Grant,99.11707917,Grant,False
91,Edward Watson,180.3535589,Watson,True
92,Derrick Cooke,142.090116,Cooke,True
93,Arthur Hall MD,235.9669749,Hall,True
94,Sean Patrick,139.4507994,Patrick,True
95,Heather Collins,127.3925734,Collins,True
96,Megan Gomez,107.8624451,Gomez,True
97,William Hale,114.6709254,Hale,True
98,Olivia Thompson,8.608441014,Thompson,False
99,Lori Torres,18.85827433,Torres,False
100,Vickie Hernandez,214.9321807,Hernandez,True
101,Kimberly Brown,40.3199327,Brown,False
102,Sherry Meza,182.8545499,Meza,True
103,Phillip Hansen,44.11611704,Hansen,False
104,Jeanette Knight,28.68694329,Knight,False
105,Kayla Hanson,27.63036397,Hanson,False
106,James Johnston,284.4290554,Johnston,True
107,Dr. John Porter,53.72799274,John,False
108,Elizabeth Reyes,93.68075684,Reyes,False
109,Kristen Henry,77.00624357,Henry,False
110,Claudia Anderson,160.3401593,Anderson,True
111,Nicholas Webb,18.71038619,Webb,False
112,Allison Cooper,206.0421068,Cooper,True
113,Zachary Barnes,280.7741315,Barnes,True
114,Gregory Hill III,265.9765808,Hill,True
115,Terry Ayers,16.51163899,Ayers,False
116,Jessica Wilson,290.4095461,Wilson,True
117,Daniel Frazier,190.3291917,Frazier,True
118,Brian Welch,218.2505083,Welch,True
119,Carol Chavez,123.1834427,Chavez,True
120,Ethan Mcdonald,214.3503174,Mcdonald,True
121,Gerald Martinez,57.54786356,Martinez,False
122,Eric King,59.87926423,King,False
123,Sylvia Walters,110.9463132,Walters,True
124,Jonathan Lane,64.46710142,Lane,False
125,Matthew Turner,180.2628702,Turner,True
126,Jeffrey Bauer,30.51584181,Bauer,False
127,Jessica Shaffer,54.90193651,Shaffer,False
128,Chris Spencer,251.3752831,Spencer,True
129,Mary Clarke,236.0529879,Clarke,True
130,Timothy Mendoza,105.9834816,Mendoza,True
131,Alicia Hoffman,182.343699,Hoffman,True
132,Joseph Gardner,144.8091344,Gardner,True
133,Rachael Rangel,297.9496406,Rangel,True
134,Jeffrey Harrington,194.2716338,Harrington,True
135,Sophia Randolph,158.543126,Randolph,True
136,Debbie Freeman,275.8719167,Freeman,True
137,Matthew Braun,201.7749657,Braun,True
138,Sheri Hudson,268.3748402,Hudson,True
139,Mary King,204.0785754,King,True
140,Beth Davis,155.0680648,Davis,True
141,Margaret Castillo,193.9063244,Castillo,True
142,Tommy Sandoval,172.283041,Sandoval,True
143,Christopher Hines,46.55435299,Hines,False
144,Richard Wright,208.3596969,Wright,True
145,Michael Brown,278.5230886,Brown,True
146,Nathan Yu,134.1895098,Yu,True
147,Cameron Ford,248.8921382,Ford,True
148,Carla Hayes,265.3745759,Hayes,True
149,Marissa Matthews,136.0925777,Matthews,True
150,Dr. Samuel Thompson,237.1592416,Samuel,True
151,Gary Figueroa,168.9447684,Figueroa,True
152,Michael West,146.8886849,West,True
153,Martin Walton,140.3400576,Walton,True
154,Zachary Lee,8.667301583,Lee,False
155,Christopher Stephenson,67.01185633,Stephenson,False
156,Eric Ortiz,117.7242458,Ortiz,True
157,Kara Pittman,56.23964364,Pittman,False
158,Andrew Cowan,295.9391812,Cowan,True
159,Rhonda Moss DDS,259.0397505,Moss,True
160,Sarah Williams,92.82627714,Williams,False
161,Carolyn Collins,236.2472888,Collins,True
162,Larry Mooney,135.2701794,Mooney,True
163,Laura Livingston,294.2580699,Livingston,True
164,Candace Mckenzie,84.58145758,Mckenzie,False
165,Candace Wallace,124.7464543,Wallace,True
166,Jason White,218.4318041,White,True
167,Patricia Reynolds,89.01176826,Reynolds,False
168,Michael Ellison,244.4717106,Ellison,True
169,Melissa Robles,238.4560967,Robles,True
